State_name,POP_2021
AL,5049846
AK,734182
AZ,7264877
AR,3028122
CA,39142991
CO,5811297
CT,3623355
DE,1004807
FL,21828069
GA,10788029
HI,1447154
ID,1904314
IL,12686469
IN,6813532
IA,3197689
KS,2937922
KY,4506589
LA,4627098
ME,1377238
MD,6174610
MA,6989690
MI,10037504
MN,5711471
MS,2949586
MO,6169823
MT,1106227
NE,1963554
NV,3146402
NH,1387505
NJ,9267961
NM,2116677
NY,19857492
NC,10565885
ND,777934
OH,11764342
OK,3991225
OR,4256301
PA,13012059
RI,1096985
SC,5193266
SD,896164
TN,6968351
TX,29558864
UT,3339113
VT,646972
VA,8657365
WA,7740745
WV,1785526
WI,5880101
WY,579483
